time: 30.8847 , HR: 151.67 
time: 30.9508 , HR: 84.20 
time: 31.0103 , HR: 84.50 
time: 31.0952 , HR: 84.32 
time: 31.1615 , HR: 84.35 
time: 31.2278 , HR: 84.27 
time: 31.2919 , HR: 84.49 
time: 31.3845 , HR: 84.22 
time: 31.4494 , HR: 84.27 
time: 31.5189 , HR: 84.18 
time: 31.5822 , HR: 84.44 
time: 31.6670 , HR: 84.42 
time: 31.7335 , HR: 84.48 
time: 31.8029 , HR: 84.37 
time: 31.8660 , HR: 84.68 
time: 31.9342 , HR: 84.71 
time: 32.0186 , HR: 84.57 
time: 32.0900 , HR: 84.48 
time: 32.1467 , HR: 84.95 
time: 32.2118 , HR: 85.19 
time: 32.3023 , HR: 85.00 
time: 32.3736 , HR: 85.28 
time: 32.4310 , HR: 86.00 
time: 32.4968 , HR: 86.13 
time: 32.5856 , HR: 85.88 
time: 32.6662 , HR: 85.88 
time: 32.7349 , HR: 85.95 
time: 32.8053 , HR: 85.85 
time: 32.8784 , HR: 85.78 
time: 32.9630 , HR: 85.72 
time: 33.0212 , HR: 85.92 
time: 33.0868 , HR: 85.86 
time: 33.1713 , HR: 51.39 
time: 33.2431 , HR: 51.35 
time: 33.3023 , HR: 51.52 
time: 33.3691 , HR: 51.51 
time: 33.4334 , HR: 51.54 
time: 33.5158 , HR: 51.39 
time: 33.5782 , HR: 51.57 
time: 33.6461 , HR: 51.56 
time: 33.7055 , HR: 51.64 
time: 33.7880 , HR: 51.46 
time: 33.8545 , HR: 51.68 
time: 33.9244 , HR: 51.64 
time: 33.9852 , HR: 51.71 
time: 34.0671 , HR: 51.55 
time: 34.1330 , HR: 51.70 
time: 34.2032 , HR: 51.65 
time: 34.2622 , HR: 51.71 
time: 34.3261 , HR: 51.69 
time: 34.4032 , HR: 51.61 
time: 34.4724 , HR: 51.69 
time: 34.5303 , HR: 51.82 
time: 34.5941 , HR: 51.77 
time: 34.6823 , HR: 51.62 
time: 34.7618 , HR: 51.63 
time: 34.8198 , HR: 51.73 
time: 34.8859 , HR: 51.67 
time: 34.9649 , HR: 51.58 
time: 35.0342 , HR: 51.69 
time: 35.0932 , HR: 51.75 
time: 35.1589 , HR: 51.68 
time: 35.2241 , HR: 51.70 
time: 35.3029 , HR: 51.64 
time: 35.3678 , HR: 51.85 
time: 35.4346 , HR: 51.87 
time: 35.4961 , HR: 51.91 
time: 35.6609 , HR: 51.14 
time: 3.4716 , HR: 0.00 
time: 3.6717 , HR: 0.00 
time: 3.8158 , HR: 0.00 
time: 3.8920 , HR: 0.00 
time: 4.0103 , HR: 0.00 
time: 4.2118 , HR: 0.00 
time: 4.2861 , HR: 0.00 
time: 4.3434 , HR: 0.00 
time: 4.4667 , HR: 0.00 
time: 5.2077 , HR: 0.00 
time: 5.2835 , HR: 0.00 
time: 5.5430 , HR: 0.00 
time: 5.6269 , HR: 0.00 
time: 5.6835 , HR: 0.00 
time: 5.8179 , HR: 0.00 
time: 5.8998 , HR: 0.00 
time: 5.9572 , HR: 0.00 
time: 6.0130 , HR: 0.00 
time: 6.0780 , HR: 0.00 
time: 6.1462 , HR: 0.00 
time: 6.2104 , HR: 0.00 
time: 6.2781 , HR: 0.00 
time: 6.3461 , HR: 0.00 
time: 6.4102 , HR: 0.00 
time: 6.4809 , HR: 0.00 
time: 6.5461 , HR: 0.00 
time: 6.6141 , HR: 0.00 
time: 6.6784 , HR: 0.00 
time: 6.7462 , HR: 0.00 
time: 6.8143 , HR: 0.00 
time: 6.8821 , HR: 0.00 
time: 6.9461 , HR: 0.00 
time: 7.0140 , HR: 0.00 
time: 7.0820 , HR: 0.00 
time: 7.1502 , HR: 0.00 
time: 7.2140 , HR: 0.00 
time: 7.2821 , HR: 0.00 
time: 7.3499 , HR: 0.00 
time: 7.4155 , HR: 0.00 
time: 7.4842 , HR: 0.00 
time: 7.5524 , HR: 0.00 
time: 7.7312 , HR: 0.00 
time: 7.7928 , HR: 0.00 
time: 7.8572 , HR: 0.00 
time: 7.9166 , HR: 0.00 
time: 7.9724 , HR: 0.00 
time: 8.0408 , HR: 0.00 
time: 8.1021 , HR: 0.00 
time: 8.1646 , HR: 0.00 
time: 8.2237 , HR: 0.00 
time: 8.2926 , HR: 0.00 
time: 8.3547 , HR: 0.00 
time: 8.4158 , HR: 0.00 
time: 8.4734 , HR: 0.00 
time: 8.5311 , HR: 0.00 
time: 8.5970 , HR: 0.00 
time: 8.6594 , HR: 0.00 
time: 8.7183 , HR: 0.00 
time: 8.7771 , HR: 0.00 
time: 8.8445 , HR: 0.00 
time: 8.9243 , HR: 0.00 
time: 8.9898 , HR: 0.00 
time: 9.0548 , HR: 0.00 
time: 9.1258 , HR: 0.00 
time: 9.2001 , HR: 0.00 
time: 9.2592 , HR: 0.00 
time: 9.3156 , HR: 0.00 
time: 9.3743 , HR: 0.00 
time: 9.4355 , HR: 0.00 
time: 9.4998 , HR: 0.00 
time: 9.5604 , HR: 0.00 
time: 9.6296 , HR: 0.00 
time: 9.6942 , HR: 0.00 
time: 9.7640 , HR: 0.00 
time: 9.8322 , HR: 0.00 
time: 9.9004 , HR: 0.00 
time: 9.9634 , HR: 0.00 
time: 10.0347 , HR: 0.00 
time: 10.1003 , HR: 0.00 
time: 10.1631 , HR: 0.00 
time: 10.2344 , HR: 0.00 
time: 10.2960 , HR: 0.00 
time: 10.3681 , HR: 0.00 
time: 10.4369 , HR: 0.00 
time: 10.5003 , HR: 0.00 
time: 10.5684 , HR: 0.00 
time: 10.6320 , HR: 0.00 
time: 10.6987 , HR: 0.00 
time: 10.7693 , HR: 0.00 
time: 10.8369 , HR: 0.00 
time: 10.8992 , HR: 0.00 
time: 10.9754 , HR: 0.00 
time: 11.0559 , HR: 0.00 
time: 11.1269 , HR: 0.00 
time: 11.1904 , HR: 0.00 
time: 11.2644 , HR: 0.00 
time: 11.3440 , HR: 0.00 
time: 11.4133 , HR: 0.00 
time: 11.4885 , HR: 0.00 
time: 11.5562 , HR: 59.37 
time: 11.6733 , HR: 59.99 
